DATE SYMBOL CUSIP
2020-08-06 UGL 74347W601
2020-08-06 WEBS 25460E356
2020-08-06 XBUY 032108870
2020-08-06 ZSL 74347W114
2020-08-07 AAAU 715426102
2020-08-07 ASM 053906103
2020-08-07 CQQQ 46138E800
2020-08-07 DNL 97717W844
2020-08-07 EB 29975E109
2020-08-07 ENSV 29358Y102
2020-08-07 FISR 78470P507
2020-08-07 FXA 46090N103
2020-08-07 HIBS 25460E331
2020-08-07 HSMV 33741Y100
2020-08-07 IDRV 46435U366
2020-08-07 IHY 92189F445
2020-08-07 INDS 69374H766
2020-08-07 PHDG 46090A705
2020-08-07 PSF 19248Y107
2020-08-07 PTIN 69374H683
2020-08-07 THD 464286624
2020-08-07 TMF 25459W540
2020-08-07 UGL 74347W601
2020-08-07 WEBS 25460E356
2020-08-07 XBUY 032108870
2020-08-07 ZSL 74347W114
2020-08-10 AAAU 715426102
2020-08-10 ASGI 00326W106
2020-08-10 ASM 053906103
2020-08-10 CQQQ 46138E800
2020-08-10 EB 29975E109
2020-08-10 ENSV 29358Y102
2020-08-10 FISR 78470P507
2020-08-10 FXA 46090N103
2020-08-10 HSMV 33741Y100
2020-08-10 IDRV 46435U366
2020-08-10 IHY 92189F445
2020-08-10 INDS 69374H766
2020-08-10 PHDG 46090A705
2020-08-10 PSF 19248Y107
2020-08-10 PTIN 69374H683
